Gruppe;Region laut Gruppe;Mitglied;Region des Muskels;Subregion;Gelenkgruppen
Rotatorenmanschette;;M. supraspinatus;Obere Extremität;Schultergürtel;Schultergelenk
Rotatorenmanschette;;M. infraspinatus;Obere Extremität;Schultergürtel;Schultergelenk
Rotatorenmanschette;;M. teres minor;Obere Extremität;Schultergürtel;Schultergelenk
Rotatorenmanschette;;M. subscapularis;Obere Extremität;Schultergürtel;Schultergelenk
M. quadriceps femoris;;M. rectus femoris;Untere Extremität;Knie;Hüftgelenk · Kniegelenk
M. quadriceps femoris;;M. vastus medialis;Untere Extremität;Knie;Kniegelenk
M. quadriceps femoris;;M. vastus intermedius;Untere Extremität;Knie;Kniegelenk
M. quadriceps femoris;;M. vastus lateralis;Untere Extremität;Knie;Kniegelenk
Ischiocrurale Gruppe;;M. biceps femoris – Caput longum;Untere Extremität;Knie;Hüftgelenk · Kniegelenk
Ischiocrurale Gruppe;;M. biceps femoris – Caput breve;Untere Extremität;Knie;Kniegelenk
Ischiocrurale Gruppe;;M. semitendinosus;Untere Extremität;Knie;Hüftgelenk · Kniegelenk
Ischiocrurale Gruppe;;M. semimembranosus;Untere Extremität;Knie;Hüftgelenk · Kniegelenk
Adduktorengruppe der Hüfte;;M. adductor longus;Untere Extremität;Hüfte;Hüftgelenk
Adduktorengruppe der Hüfte;;M. adductor brevis;Untere Extremität;Hüfte;Hüftgelenk
Adduktorengruppe der Hüfte;;M. adductor magnus;Untere Extremität;Hüfte;Hüftgelenk
Adduktorengruppe der Hüfte;;M. gracilis;Untere Extremität;Hüfte;Hüftgelenk · Kniegelenk
Adduktorengruppe der Hüfte;;M. pectineus;Untere Extremität;Hüfte;Hüftgelenk
Oberflächliche Wadenmuskulatur;;M. gastrocnemius;Untere Extremität;Fuß & Sprunggelenk;Kniegelenk · Sprunggelenk & Fuß
Oberflächliche Wadenmuskulatur;;M. soleus;Untere Extremität;Fuß & Sprunggelenk;Sprunggelenk & Fuß
Oberflächliche Wadenmuskulatur;;M. plantaris;Untere Extremität;Fuß & Sprunggelenk;Kniegelenk · Sprunggelenk & Fuß
Daumenballen (Thenar);;M. abductor pollicis brevis;Obere Extremität;Hand & Finger;Hand
Daumenballen (Thenar);;M. flexor pollicis brevis;Obere Extremität;Hand & Finger;Hand
Daumenballen (Thenar);;M. opponens pollicis;Obere Extremität;Hand & Finger;Hand
Daumenballen (Thenar);;M. adductor pollicis;Obere Extremität;Hand & Finger;Hand
Autochthone Rückenmuskulatur — medialer Trakt;;Mm. interspinales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — medialer Trakt;;Mm. spinales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — medialer Trakt;;Mm. intertransversarii mediales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — medialer Trakt;;Mm. rotatores;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — medialer Trakt;;M. semispinalis;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — medialer Trakt;;Mm. multifidi;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — lateraler Trakt;;Mm. iliocostales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — lateraler Trakt;;Mm. longissimi;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Autochthone Rückenmuskulatur — lateraler Trakt;;Mm. splenii;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule
Bauchwand;;M. rectus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden
Bauchwand;;M. obliquus externus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden
Bauchwand;;M. obliquus internus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden
Bauchwand;;M. transversus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden
Beckenboden;;M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden
Beckenboden;;M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden
Beckenboden;;M. transversus perinei profundus;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden
Beckenboden;;M. transversus perinei superficialis;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden
Kaumuskulatur;;M. masseter;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur
Kaumuskulatur;;M. temporalis;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur
Kaumuskulatur;;M. pterygoideus medialis;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur
Kaumuskulatur;;M. pterygoideus lateralis;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur
Suprahyoidale Muskeln;;M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf
Suprahyoidale Muskeln;;M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein & Kehlkopf
Suprahyoidale Muskeln;;M. stylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein & Kehlkopf
Suprahyoidale Muskeln;;M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf
Infrahyoidale Muskeln;;M. sternohyoideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf
Infrahyoidale Muskeln;;M. sternothyroideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf
Infrahyoidale Muskeln;;M. thyrohyoideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf
Infrahyoidale Muskeln;;M. omohyoideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf
Mimische Muskulatur;;M. orbicularis oris;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur
Mimische Muskulatur;;M. orbicularis oculi;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur
Mimische Muskulatur;;M. procerus;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur
Mimische Muskulatur;;M. nasalis;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur
Mimische Muskulatur;;M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur
Mimische Muskulatur;;M. occipitofrontalis;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur
Mimische Muskulatur;;Platysma;Kopf & Hals;Halsmuskulatur;Mimik & Kopfmuskulatur
