Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. anconeus;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus lateralis humeri und Lig. collaterale radiale;Proximaler Bereich der Facies posterior ulnae;Unterstützt die Ellenbogenextension und stabilisiert das Gelenk;Extension;N. radialis;C6, C7, C8;Unterstützt Ellenbogenextension;nein;;2;1;ja;M. anconeus;anconeus;
M. biceps brachii;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;"Caput longum: Tuberculum supraglenoidale scapulae und Labrum glenoidale; Caput breve: Proc. coracoideus scapulae";"Tuberositas radii; Lacertus fibrosus / Fascia antebrachii";Schulter: Flexion, teils Abduktion oder Adduktion je nach Kopf. Ellenbogen: Flexion und Supination;Flexion · Supination;N. musculocutaneus;C5, C6, C7;Bizepssehnenruptur, LBS-Tendinitis;nein;;1;3;ja;M. biceps brachii;biceps-brachii;Schultergelenk
M. brachialis;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Ventrale Seite des Humerus, distale Hälfte;Tuberositas ulnae, Gelenkkapsel des Ellenbogens;Stärkster Flexor im Ellenbogengelenk;Flexion;N. musculocutaneus;C5, C6, C7;Stärkster Ellenbogenbeuger;nein;;1;3;ja;M. brachialis;brachialis;
M. brachioradialis;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Margo lateralis humeri;Radiale Fläche des Proc. styloideus radii;"Ellenbogenflexion; führt den Unterarm in Mittelstellung";Flexion · Pronation · Supination;N. radialis;C5, C6, C7;Radialisparese;nein;;1;2;ja;M. brachioradialis;brachioradialis;
M. extensor carpi radialis brevis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Basis Os metacarpale III;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;1;ja;M. extensor carpi radialis brevis;extensor-carpi-radialis-brevis;Hand
M. extensor carpi radialis longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Margo lateralis humeri;Basis Os metacarpale II;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;2;ja;M. extensor carpi radialis longus;extensor-carpi-radialis-longus;Hand
M. extensor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Margo posterior ulnae;Basis Os metacarpale V;Dorsalextension und Ulnarabduktion im Handgelenk;Ulnarabduktion;N. radialis;C6, C7, C8;Epicondylitis lateralis;nein;;1;1;ja;M. extensor carpi ulnaris;extensor-carpi-ulnaris;Hand
M. extensor digitorum;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP · DIP;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Dorsalaponeurosen des II.–V. Fingers, Basen der Grundphalangen II–V;"Dorsalextension im Handgelenk; Streckung der Finger II-V";Dorsalextension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Strecksehnenruptur, Epicondylitis lateralis;nein;;1;1;ja;M. extensor digitorum;extensor-digitorum;Hand
M. flexor carpi radialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri;Basis Os metacarpale II (manchmal auch III);Palmarflexion und Radialabduktion im Handgelenk;Palmarflexion · Radialabduktion · Pronation;N. medianus;C6, C7, C8;Karpaltunnelsyndrom, Epicondylitis medialis;nein;;1;2;ja;M. flexor carpi radialis;flexor-carpi-radialis;Hand
M. flexor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus medialis humeri, medialer Olekranon und Margo posterior ulnae;Os pisiforme, Hamulus ossis hamati, Basis Os metacarpale V;Palmarflexion und Ulnarabduktion im Handgelenk;Palmarflexion · Ulnarabduktion;N. ulnaris;C7, C8, Th1;Ulnarisrinnensyndrom;nein;;1;1;ja;M. flexor carpi ulnaris;flexor-carpi-ulnaris;Hand
M. flexor digitorum superficialis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP;Ellenbogen · Hand;Epicondylus medialis humeri, Facies medialis ulnae, proximaler Margo anterior radii;Mittelphalangen des II.–V. Fingers;"Palmarflexion im Handgelenk; Flexion in MCP- und PIP-Gelenken der Finger II-V";Palmarflexion · MCP-Flexion · PIP-Flexion;N. medianus;C7, C8, Th1;Karpaltunnelsyndrom, Schnappfinger;nein;;2;1;ja;M. flexor digitorum superficialis;flexor-digitorum-superficialis;Hand
