Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. abductor digiti minimi;;Obere Extremität;Hand & Finger;MCP;Hand;Os pisiforme;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;"Abduktion des kleinen Fingers; unterstützt die MCP-Extension";Ulnarabduktion · Extension;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. abductor digiti minimi#manus;abductor-digiti-minimi-upper-hand-ulnarabduktion;
M. abductor pollicis brevis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;Tuberculum ossis scaphoidei und Retinaculum flexorum;Basis der Grundphalanx des Daumens, radiales Sesambein;Führt den Daumen ab und unterstützt Oppositions- sowie Beugebewegungen;CMC-Flexion · Abduktion · Opposition;N. medianus;C6, C7;Medianusparese – Daumenballenatrophie;nein;Daumenballen (Thenar);2;1;ja;M. abductor pollicis brevis;abductor-pollicis-brevis;
M. abductor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk;Hand;Facies posterior von Ulna und Radius und Membrana interossea;Basis der radialen Seite des Os metacarpale I;"Abduktion und Extension des Daumens im Sattelgelenk; unterstützt die Radialabduktion";Radialabduktion · CMC-Extension · CMC-Abduktion;N. radialis;C6, C7, C8;Tendovaginitis de Quervain;nein;;2;1;ja;M. abductor pollicis longus;abductor-pollicis-longus;
M. adductor pollicis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;"Caput obliquum: Os trapezoideum, Os capitatum, Basis Os metacarpale II, Ligg. metacarpalia palmaria; Caput transversum: Palmare Seite des Os metacarpale III";Basis der Grundphalanx des Daumens, ulnares Sesambein;"Adduktion des Daumens; unterstützt Reposition und Flexion im Sattelgelenk";CMC-Flexion · Adduktion · Reposition;N. ulnaris;C8, Th1;Froment-Zeichen bei Ulnarisparese;nein;Daumenballen (Thenar);2;2;ja;M. adductor pollicis;adductor-pollicis;
M. extensor carpi radialis brevis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Basis Os metacarpale III;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;1;ja;M. extensor carpi radialis brevis;extensor-carpi-radialis-brevis;Ellenbogen
M. extensor carpi radialis longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Margo lateralis humeri;Basis Os metacarpale II;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;2;ja;M. extensor carpi radialis longus;extensor-carpi-radialis-longus;Ellenbogen
M. extensor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Margo posterior ulnae;Basis Os metacarpale V;Dorsalextension und Ulnarabduktion im Handgelenk;Ulnarabduktion;N. radialis;C6, C7, C8;Epicondylitis lateralis;nein;;1;1;ja;M. extensor carpi ulnaris;extensor-carpi-ulnaris;Ellenbogen
M. extensor digiti minimi;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Epicondylus lateralis humeri;Dorsalaponeurose des kleinen Fingers;"Streckt den kleinen Finger; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · Extension des V. Fingers;N. radialis;C6, C7, C8;Eigenständige Extension des Kleinfingers;nein;;2;1;ja;M. extensor digiti minimi;extensor-digiti-minimi;
M. extensor digitorum;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus · MCP · PIP · DIP;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Dorsalaponeurosen des II.–V. Fingers, Basen der Grundphalangen II–V;"Dorsalextension im Handgelenk; Streckung der Finger II-V";Dorsalextension · MCP-Extension · IP-Extension;N. radialis;C6, C7, C8;Strecksehnenruptur, Epicondylitis lateralis;nein;;1;1;ja;M. extensor digitorum;extensor-digitorum;Ellenbogen
M. extensor indicis;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Distaler Teil der Facies posterior ulnae und Membrana interossea;Dorsalaponeurose des Zeigefingers;"Streckt den Zeigefinger; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · Extension des Zeigefingers;N. radialis;C6, C7, C8;Eigenständige Extension des Zeigefingers;nein;;2;1;ja;M. extensor indicis;extensor-indicis;
M. extensor pollicis brevis;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk · MCP;Hand;Facies posterior des Radius und Membrana interossea;Basis der Grundphalanx des Daumens;"Streckt den Daumen vor allem im Grundgelenk; unterstützt die Extension im Sattelgelenk";CMC-Extension · MCP-Extension;N. radialis;C6, C7, C8;Tendovaginitis de Quervain;nein;;2;1;ja;M. extensor pollicis brevis;extensor-pollicis-brevis;
