Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. adductor brevis;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os pubis, Ramus inferior;Linea pectinea (distal) und Linea aspera (proximal);"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Adduktion · Flexion · Außenrotation;N. obturatorius;L2, L3, L4;"Häufig zusammen mit anderen Adduktoren bei Zerrungen beteiligt; relativ kurzer Hebelarm und schmale Muskelmasse";nein;Adduktorengruppe der Hüfte;2;1;ja;M. adductor brevis;adductor-brevis;
M. adductor longus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os pubis, Ramus superior und inferior;Linea aspera des Femur (Mitte);"Führt den Oberschenkel zur Körpermitte (Adduktion); unterstützt zugleich die Hüftbeugung und eine leichte Außenrotation";Flexion · Adduktion · Außenrotation;N. obturatorius;L2, L3, L4;"Häufig zusammen mit anderen Adduktoren bei Zerrungen beteiligt; relativ kurzer Hebelarm und schmale Muskelmasse";nein;Adduktorengruppe der Hüfte;1;1;ja;M. adductor longus;adductor-longus;
M. adductor magnus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;"Pars superior: Os pubis, Ramus inferior und Ramus ossis ischii; Pars media: Ramus ossis ischii; Pars inferior: Tuber ischiadicum";"Linea aspera (proximal); Linea aspera (distal); Tuberculum adductorium";"Kräftiger Adduktor des Hüftgelenks; streckt die Hüfte (insbesondere der ischiokrurale Anteil); der pubische Anteil rotiert nach außen, der ischiokrurale Anteil nach innen";Adduktion · Extension · Außenrotation · Innenrotation;N. obturatorius, N. tibialis;L2, L3, L4, L5, S1;"Der Hiatus adductorius in diesem Muskel ist klinisch bedeutsam, da A. und V. femoralis hindurchtreten; Adduktorenzerrungen betreffen häufig die ischiale Ursprungspartie";nein;Adduktorengruppe der Hüfte;2;1;ja;M. adductor magnus;adductor-magnus;
M. biceps femoris – Caput longum;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Caput fibulae; Condylus lateralis tibiae";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Außenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Außenrotation;N. tibialis;L5, S1, S2;"Ischiokrurale Zerrungen betreffen besonders die Ursprungsregion am Tuber ischiadicum; das Hamstring-Syndrom bezeichnet chronische Beschwerden durch narbige Veränderungen der Ischiokruralen";nein;Ischiocrurale Gruppe;1;1;ja;M. biceps femoris – Caput longum;biceps-femoris-caput-longum;Kniegelenk
M. gemellus inferior;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Tuber ischiadicum;Fossa trochanterica des Femur;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation;Plexus sacralis;L5, S1;"Tiefe Außenrotatorengruppe; bei Reizung oder Verspannung kann Druckdolenz am Tuber ischiadicum auf diesen Muskel hindeuten";nein;;3;2;ja;M. gemellus inferior;gemellus-inferior;
M. gemellus superior;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Spina ischiadica;Fossa trochanterica des Femur;Unterstützt die Außenrotation im Hüftgelenk;Außenrotation;Plexus sacralis;L5, S1;"Ebenfalls Teil der tiefen Außenrotatorengruppe; klinisch kaum isoliert testbar, wird funktionell immer mit dem M. obturatorius internus bewertet";nein;;3;2;ja;M. gemellus superior;gemellus-superior;
M. gluteus maximus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;"Tiefer Teil: Ala ossis ilii (Facies glutealis), Lig. sacrotuberale; Oberflächlicher Teil: Fascia thoracolumbalis, Crista iliaca, SIPS, dorsale Fläche des Sacrums, Os coccygis";"Tractus iliotibialis; Tuberositas glutealis femoris";"Hauptextensor des Hüftgelenks; dreht den Oberschenkel nach außen; die lateralen Anteile wirken zusätzlich als Abduktoren und spannen den Tractus iliotibialis";Extension · Außenrotation · Abduktion;N. gluteus inferior;L5, S1, S2;"Insuffizienz führt zu positivem Trendelenburg-Zeichen; spielt eine wichtige Rolle beim Treppensteigen, Aufstehen und beim Hingleiten ins Hohlkreuz";nein;;1;2;ja;M. gluteus maximus;gluteus-maximus;
M. gluteus medius;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Ala ossis ilii, Facies glutealis;Trochanter major (lateral);"Führt das Bein seitwärts (Abduktion); vordere Fasern rotieren nach innen und beugen, hintere Fasern rotieren nach außen und strecken; essentiell für die Beckenstabilisierung im Einbeinstand";Abduktion · Flexion · Innenrotation · Extension · Außenrotation;N. gluteus superior;L4, L5, S1;"Insuffizienz führt zu positivem Trendelenburg-Zeichen mit Absinken des kontralateralen Beckens in der Standphase; häufige Ursache von Gangstörungen";nein;;1;3;ja;M. gluteus medius;gluteus-medius;
M. gluteus minimus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Ala ossis ilii, Facies glutealis;Spitze des Trochanter major;"Abduziert die Hüfte und unterstützt die Innenrotation (ventrale Fasern) bzw. Außenrotation (dorsale Fasern); Funktion nahezu identisch mit Gluteus medius";Abduktion · Flexion · Innenrotation · Extension · Außenrotation;N. gluteus superior;L4, L5, S1;"Funktionell eng mit dem Gluteus medius verwandt; bei Insuffizienz ebenfalls Trendelenburg-Zeichen möglich; wird selten isoliert getestet";nein;;2;3;ja;M. gluteus minimus;gluteus-minimus;
M. gracilis;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Os pubis, Ramus inferior;Tibia, Facies medialis (Pes anserinus);"Adduziert das Bein im Hüftgelenk; im Kniegelenk wirkt er als Beuger und Innenrotator des Unterschenkels";Hüftadduktion · Knieflexion · Knie-Innenrotation;N. obturatorius;L2, L3;Pes-anserinus-Syndrom, Sehnentransplantat (Kreuzbandplastik);nein;Adduktorengruppe der Hüfte;2;1;ja;M. gracilis;gracilis;Kniegelenk
M. iliacus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Fossa iliaca des Ileums und Spina iliaca anterior inferior;Trochanter minor des Femur;"Flektiert das Hüftgelenk und rotiert den Oberschenkel nach außen; bei feststehendem Bein kippt er das Ilium nach ventral";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L2, L3;"Bei prolongiertem Sitzen häufig verkürzt, was zu einer Hüftbeugekontraktur und Beckenkippung nach vorne führen kann; relevant bei Hüftgelenkserkrankungen";nein;;1;2;ja;M. iliacus;iliacus;
M. obturatorius externus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os coxae und Membrana obturatoria (Außenseite);Fossa trochanterica des Femur;Dreht den Oberschenkel im Hüftgelenk nach außen;Außenrotation;N. obturatorius;L3, L4;"Ebenfalls Teil der tiefen Außenrotatorengruppe; klinisch kaum isoliert testbar, wird funktionell immer mit dem M. obturatorius internus bewertet";nein;;3;2;ja;M. obturatorius externus;obturatorius-externus;
M. obturatorius internus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os coxae und Membrana obturatoria (Innenseite);Fossa trochanterica des Femur;Dreht den Oberschenkel im Hüftgelenk nach außen;Außenrotation;Plexus sacralis;L5, S1;"Teil der tiefen Außenrotatorengruppe; klinisch häufig zusammen mit Piriformis und den Gemelli beurteilt; gut zu testen im Seitenvergleich der Außenrotationskraft";nein;;3;1;ja;M. obturatorius internus;obturatorius-internus;
M. pectineus;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Pecten ossis pubis;Linea pectinea des Femur;"Adduziert den Oberschenkel und beugt ihn leicht im Hüftgelenk; eine geringe Außenrotation ist ebenfalls möglich";Adduktion · Flexion · Außenrotation;N. femoralis, N. obturatorius;L2, L3;"Adduktorenzerrungen betreffen besonders diesen Muskel, da er mechanisch stark belastet wird; als Ursprungstendinopathie am Schambein auch als Sportlerleiste bekannt";nein;Adduktorengruppe der Hüfte;2;1;ja;M. pectineus;pectineus;
M. piriformis;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Os sacrum, Facies pelvica;Trochanter major des Femur;"Außenrotiert den Oberschenkel im Hüftgelenk; wirkt bei 90° Hüftbeugung zusätzlich als Abduktor";Außenrotation · Abduktion;Plexus sacralis;S1, S2;"Gehört zur Gruppe der tiefen Außenrotatoren; bei Verletzungen oder Reizzuständen können Beschwerden die ischiadikusähnliche Symptomatik imitieren";nein;;2;2;ja;M. piriformis;piriformis;
M. psoas major;;Untere Extremität;Hüfte;Art. coxae · LWS;Wirbelsäule · Hüftgelenk;"Wirbelkörper (BWK 12 / LWK 1–4) und Disci intervertebrales; Procc. costales LWK 1–5 (tiefer Anteil)";Trochanter minor des Femur;"Beugt die Hüfte und adduziert den Oberschenkel; bei fixiertem Femur verstärkt er die Lendenlordose; wirkt zudem als Außenrotator im Hüftgelenk";Flexion · Adduktion · Außenrotation;Plexus lumbalis;L1, L2, L3;"Verkürzungen entstehen häufig durch langes Sitzen; klinisch relevant bei LWS-Beschwerden, Hyperlordose und dem sog. Psoassyndrom mit Leisten- und Rückenschmerzen";nein;;1;3;ja;M. psoas major;psoas-major;Wirbelsäule
M. psoas minor;;Untere Extremität;Hüfte;Becken;Hüftgelenk;Wirbelkörper Th12/L1;Eminentia iliopubica;Kippt das Becken nach dorsal (Retroversion) und unterstützt die Stabilisierung der Lendenwirbelsäule in Streckstellung;Beckenkippung rückwärts;Plexus lumbalis;L1;Dieser Muskel fehlt bei etwa 10 % der Menschen und ist dann funktionell durch den Psoas major kompensiert – klinisch meist bedeutungslos, kann jedoch bei bildgebenden Verfahren als Zufallsbefund auffallen;nein;;3;0;ja;M. psoas minor;psoas-minor;
M. quadratus femoris;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Tuber ischiadicum (lateral);Crista intertrochanterica des Femur;"Dreht den Oberschenkel nach außen und zieht ihn leicht zur Körpermitte (Adduktion); liegt zwischen Tuber ischiadicum und Crista intertrochanterica";Außenrotation · Adduktion;Plexus sacralis;L4, L5, S1;"Tiefe Außenrotatorengruppe; bei Reizung oder Verspannung kann Druckdolenz am Tuber ischiadicum auf diesen Muskel hindeuten";nein;;3;1;ja;M. quadratus femoris;quadratus-femoris;
M. rectus femoris;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior inferior und Azetabulum (oberer Rand);Tuberositas tibiae (via Patellarsehne);"Beugt die Hüfte im Hüftgelenk (Flexion in der Art. coxae); streckt das Kniegelenk als Teil des Quadriceps (Extension in der Art. genus)";Hüftflexion · Knieextension;N. femoralis;L2, L3, L4;"Risse der Quadricepssehne oder der Patellarsehne entstehen oft durch exzentrische Überlastung; der Rectus femoris ist als einziger Quadricepsanteil zweigelenkig und damit besonders gefährdet";nein;M. quadriceps femoris;1;3;ja;M. rectus femoris;rectus-femoris;Kniegelenk
M. sartorius;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tibia, Facies medialis (Pes anserinus);"Beugt und dreht die Hüfte nach außen; abduziert; im Kniegelenk bewirkt er Beugung und Innenrotation des Unterschenkels – typische Schneidersitzposition";Hüftflexion · Außenrotation · Abduktion · Knieflexion · Knie-Innenrotation;N. femoralis;L2, L3;Pes-anserinus-Syndrom;nein;;1;1;ja;M. sartorius;sartorius;Kniegelenk
M. semimembranosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Condylus medialis tibiae; Lig. popliteum obliquum";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels; zieht den Meniscus lateralis nach dorsal";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Wie Semitendinosus ischiokrural gefährdet; die semimembranosus-Sehne kann eine Baker-Zyste unterhalten, wenn sie bei Kniepathologien mechanisch reizt";nein;Ischiocrurale Gruppe;1;3;ja;M. semimembranosus;semimembranosus;Kniegelenk
M. semitendinosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;Tibia, Facies medialis (Pes anserinus);"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Zerrungen entstehen typischerweise beim Sprint oder schnellen Antritt; die Sehne dient als autologes Transplantat (z.B. Semitendinosus-Plastik) bei vorderem Kreuzbandriss";nein;Ischiocrurale Gruppe;1;3;ja;M. semitendinosus;semitendinosus;Kniegelenk
M. tensor fasciae latae;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tractus iliotibialis, Tuberculum von Gerdy an der Tibia;"Abduziert und beugt die Hüfte, dreht den Oberschenkel nach innen; spannt den Tractus iliotibialis und entlastet damit Femurschaft und -hals";Abduktion · Flexion · Innenrotation;N. gluteus superior;L4, L5, S1;"Pes-anserinus-Syndrom (Insertion am medialen Tibiakopf); die Sehne wird zudem als autologes Transplantat bei Kreuzbandrekonstruktionen verwendet";nein;;1;2;ja;M. tensor fasciae latae;tensor-fasciae-latae;Kniegelenk
