Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id);Liegt auch in
M. articularis genus;;Untere Extremität;Knie;Art. genus;Kniegelenk;Corpus femoris (ventral);Kniegelenkkapsel (Recessus suprapatellaris);Spannt die Kniegelenkkapsel im Recessus suprapatellaris (verhindert Einklemmen bei Kniestreckung);Kapselspannung;N. femoralis;L3, L4;"Verhindert das Einklemmen des Recessus suprapatellaris bei aktiver Kniestreckung; klinisch kaum isoliert untersuchbar, aber bei rezidivierenden Kniebeschwerden relevant";nein;;3;0;ja;M. articularis genus;articularis-genus;
M. biceps femoris – Caput breve;;Untere Extremität;Knie;Art. genus;Kniegelenk;Linea aspera des Femur (mittlerer Teil);Caput fibulae;"Beugt das Knie (Flexion in der Art. genus); dreht den Unterschenkel bei gebeugtem Knie nach außen (Außenrotation)";Knieflexion · Knie-Außenrotation;N. peroneus communis;L5, S1, S2;"Klinisch selten isoliert betrachtet; gehört der ischiokruralen Gruppe an; bei N.-peroneus-communis-Läsion kann die Außenrotationsfähigkeit des Kniegelenks eingeschränkt sein";nein;Ischiocrurale Gruppe;2;1;ja;M. biceps femoris – Caput breve;biceps-femoris-caput-breve;
M. biceps femoris – Caput longum;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Caput fibulae; Condylus lateralis tibiae";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Außenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Außenrotation;N. tibialis;L5, S1, S2;"Ischiokrurale Zerrungen betreffen besonders die Ursprungsregion am Tuber ischiadicum; das Hamstring-Syndrom bezeichnet chronische Beschwerden durch narbige Veränderungen der Ischiokruralen";nein;Ischiocrurale Gruppe;1;1;ja;M. biceps femoris – Caput longum;biceps-femoris-caput-longum;Hüftgelenk
M. gastrocnemius;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;"Caput mediale: Femur, Facies poplitea, Condylus medialis; Caput laterale: Femur, Facies poplitea, Condylus lateralis";Tuber calcanei (über Achillessehne);"Beugt das Knie und plantarflektiert den Fuß; unterstützt die Supination; sorgt als zweigelenkiger Muskel für die Kraftentfaltung beim Zehenstand und Abstoßen";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Wadenkrämpfe entstehen häufig durch Erschöpfung oder Elektrolytmangel; Achillessehnenrupturen treffen oft den Übergang zwischen Muskel und Sehne; als Suralispumpe fördert er venoses Blut herzwärts";nein;Oberflächliche Wadenmuskulatur;1;2;ja;M. gastrocnemius;gastrocnemius;Sprunggelenk & Fuß
M. gracilis;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Os pubis, Ramus inferior;Tibia, Facies medialis (Pes anserinus);"Adduziert das Bein im Hüftgelenk; im Kniegelenk wirkt er als Beuger und Innenrotator des Unterschenkels";Hüftadduktion · Knieflexion · Knie-Innenrotation;N. obturatorius;L2, L3;Pes-anserinus-Syndrom, Sehnentransplantat (Kreuzbandplastik);nein;Adduktorengruppe der Hüfte;2;1;ja;M. gracilis;gracilis;Hüftgelenk
M. plantaris;;Untere Extremität;Fuß & Sprunggelenk;Art. genus · Art. talocruralis;Kniegelenk · Sprunggelenk & Fuß;Femur, Facies poplitea;Tuber calcanei;"Schwächer Plantarflexor und Kniebeuger; bei fehlendem Muskel übernehmen Gastrocnemius und Soleus vollständig seine Funktion";"Knie: Flexion; Fuß: Plantarflexion · Supination";N. tibialis;;"Der Muskel fehlt bei vielen Menschen ganz; meist bleibt das ohne Beschwerden, die Sehne wird aber teils als Transplantat genutzt";nein;Oberflächliche Wadenmuskulatur;3;1;ja;M. plantaris;plantaris;Sprunggelenk & Fuß
M. popliteus;;Untere Extremität;Knie;Art. genus;Kniegelenk;Epicondylus lateralis femoris, Hinterseite der Gelenkkapsel, Meniscus lateralis;Tibia, Facies posterior;Leitet die Kniebeugung ein, rotiert den Unterschenkel nach innen und entlastet den Außenmeniskus;Knieflexion · Knie-Innenrotation;N. tibialis;L4, L5, S1;"Gilt als Schlüssel zur Kniebeweglichkeit: Er ‘entriegelt’ das voll gestreckte Knie durch Innenrotation, bevor eine Flexion möglich ist; Verletzungen können Knieblockaden verursachen";nein;;2;1;ja;M. popliteus;popliteus;
M. rectus femoris;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior inferior und Azetabulum (oberer Rand);Tuberositas tibiae (via Patellarsehne);"Beugt die Hüfte im Hüftgelenk (Flexion in der Art. coxae); streckt das Kniegelenk als Teil des Quadriceps (Extension in der Art. genus)";Hüftflexion · Knieextension;N. femoralis;L2, L3, L4;"Risse der Quadricepssehne oder der Patellarsehne entstehen oft durch exzentrische Überlastung; der Rectus femoris ist als einziger Quadricepsanteil zweigelenkig und damit besonders gefährdet";nein;M. quadriceps femoris;1;3;ja;M. rectus femoris;rectus-femoris;Hüftgelenk
M. sartorius;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tibia, Facies medialis (Pes anserinus);"Beugt und dreht die Hüfte nach außen; abduziert; im Kniegelenk bewirkt er Beugung und Innenrotation des Unterschenkels – typische Schneidersitzposition";Hüftflexion · Außenrotation · Abduktion · Knieflexion · Knie-Innenrotation;N. femoralis;L2, L3;Pes-anserinus-Syndrom;nein;;1;1;ja;M. sartorius;sartorius;Hüftgelenk
M. semimembranosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Condylus medialis tibiae; Lig. popliteum obliquum";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels; zieht den Meniscus lateralis nach dorsal";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Wie Semitendinosus ischiokrural gefährdet; die semimembranosus-Sehne kann eine Baker-Zyste unterhalten, wenn sie bei Kniepathologien mechanisch reizt";nein;Ischiocrurale Gruppe;1;3;ja;M. semimembranosus;semimembranosus;Hüftgelenk
