Muskel (lateinisch);Region;Subregion;Gelenkgruppen;In der 3D-App vorhanden
M. articularis genus;Untere Extremität;Knie;Kniegelenk;nein
M. coccygeus;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden;ja
M. corrugator supercilii;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. digastricus;Kopf & Hals;Suprahyoidale Muskeln;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;ja
M. extensor digitorum brevis;Untere Extremität;Fuß & Sprunggelenk;Sprunggelenk & Fuß;nein
M. geniohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein & Kehlkopf;ja
M. levator ani;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden;nein
M. longus capitis;Kopf & Hals;Prävertebrale Muskeln;Wirbelsäule;ja
M. longus colli;Kopf & Hals;Prävertebrale Muskeln;Wirbelsäule;nein
M. masseter;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur;nein
M. mylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Mimik & Kopfmuskulatur · Zungenbein & Kehlkopf;ja
M. nasalis;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. nasalis;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. obliquus externus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden;ja
M. obliquus internus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden;nein
M. occipitofrontalis;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. occipitofrontalis;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. omohyoideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf;ja
M. orbicularis oculi;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. orbicularis oris;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. procerus;Kopf & Hals;Mimikmuskulatur;Mimik & Kopfmuskulatur;nein
M. psoas minor;Untere Extremität;Hüfte;Hüftgelenk;nein
M. pterygoideus lateralis;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur;nein
M. pterygoideus medialis;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur;nein
M. quadratus lumborum;Wirbelsäule & Rumpf;Bauchmuskulatur;Wirbelsäule · Bauchwand & Beckenboden;nein
M. rectus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden;nein
M. semispinalis;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
M. serratus posterior inferior;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
M. serratus posterior superior;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
M. sternocleidomastoideus;Kopf & Hals;Halsmuskulatur;Wirbelsäule;ja
M. sternohyoideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf;ja
M. sternothyroideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf;ja
M. stylohyoideus;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein & Kehlkopf;ja
M. temporalis;Kopf & Hals;Kaumuskulatur;Mimik & Kopfmuskulatur;nein
M. thyrohyoideus;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein & Kehlkopf;ja
M. transversus abdominis;Wirbelsäule & Rumpf;Bauchmuskulatur;Bauchwand & Beckenboden;nein
M. transversus perinei profundus;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden;nein
M. transversus perinei superficialis;Wirbelsäule & Rumpf;Beckenboden;Bauchwand & Beckenboden;nein
Mm. iliocostales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
Mm. interspinales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
Mm. intertransversarii mediales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;nein
Mm. longissimi;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
Mm. multifidi;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;nein
Mm. rotatores;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
Mm. spinales;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;nein
Mm. splenii;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;ja
Platysma;Kopf & Hals;Halsmuskulatur;Mimik & Kopfmuskulatur;ja
