Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. anconeus;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus lateralis humeri und Lig. collaterale radiale;Proximaler Bereich der Facies posterior ulnae;Unterstützt die Ellenbogenextension und stabilisiert das Gelenk;Extension;N. radialis;C6, C7, C8;Unterstützt Ellenbogenextension;nein;;2;1;ja;M. anconeus;anconeus
M. biceps brachii;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;"Caput longum: Tuberculum supraglenoidale scapulae und Labrum glenoidale; Caput breve: Proc. coracoideus scapulae";"Tuberositas radii; Lacertus fibrosus / Fascia antebrachii";Schulter: Flexion, teils Abduktion oder Adduktion je nach Kopf. Ellenbogen: Flexion und Supination;Flexion · Supination;N. musculocutaneus;C5, C6, C7;Bizepssehnenruptur, LBS-Tendinitis;nein;;1;3;ja;M. biceps brachii;biceps-brachii
M. brachialis;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Ventrale Seite des Humerus, distale Hälfte;Tuberositas ulnae, Gelenkkapsel des Ellenbogens;Stärkster Flexor im Ellenbogengelenk;Flexion;N. musculocutaneus;C5, C6, C7;Stärkster Ellenbogenbeuger;nein;;1;3;ja;M. brachialis;brachialis
M. brachioradialis;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Margo lateralis humeri;Radiale Fläche des Proc. styloideus radii;"Ellenbogenflexion; führt den Unterarm in Mittelstellung";Flexion · Pronation · Supination;N. radialis;C5, C6, C7;Radialisparese;nein;;1;2;ja;M. brachioradialis;brachioradialis
M. pronator quadratus;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Distales Viertel der Facies anterior ulnae;Distales Viertel der Facies anterior radii;"Pronation im Unterarm; stabilisiert Radius und Ulna distal";Pronation;N. medianus;C8, Th1;Distale Unterarmfraktur;nein;;2;1;ja;M. pronator quadratus;pronator-quadratus
M. pronator teres;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus medialis humeri, mediale Seite der Tuberositas ulnae;Facies lateralis radii;"Pronation im Unterarm; unterstützt die Ellenbogenflexion";Flexion · Pronation;N. medianus;C6, C7;Pronator-teres-Syndrom (N. medianus-Kompression);nein;;1;3;ja;M. pronator teres;pronator-teres
M. supinator;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus lateralis humeri, Crista musculi supinatoris ulnae, Lig. collaterale radiale, Lig. anulare radii;Proximaler Bereich der Facies lateralis radii;Supination im Unterarm;Supination;N. radialis;C5, C6;Supinator-Syndrom (N. radialis profundus-Kompression);nein;;2;2;ja;M. supinator;supinator
M. triceps brachii – Caput laterale und mediale;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;"Caput laterale: Facies posterior humeri proximal des Sulcus n. radialis; Caput mediale: Facies posterior humeri distal des Sulcus n. radialis";Olecranon ulnae;Extension im Ellenbogen;Extension;N. radialis;C6, C7, C8;Trizepssehnenruptur;nein;;1;3;ja;M. triceps brachii – Caput laterale und mediale;triceps-brachii-caput-laterale-und-mediale
M. triceps brachii – Caput longum;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;Tuberculum und Labrum infraglenoidale scapulae;Olecranon ulnae;"Extension im Ellenbogen; unterstützt Extension und Adduktion im Schultergelenk";Extension · Adduktion;N. radialis;C6, C7, C8;Trizepssehnenruptur;nein;;1;3;ja;M. triceps brachii – Caput longum;triceps-brachii-caput-longum
M. abductor digiti minimi;;Obere Extremität;Hand & Finger;MCP;Hand;Os pisiforme;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;"Abduktion des kleinen Fingers; unterstützt die MCP-Extension";Ulnarabduktion · Extension;N. ulnaris;C8, Th1;Ulnarisparese;nein;;2;1;ja;M. abductor digiti minimi#manus;abductor-digiti-minimi-upper-hand-ulnarabduktion
M. abductor pollicis brevis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;Tuberculum ossis scaphoidei und Retinaculum flexorum;Basis der Grundphalanx des Daumens, radiales Sesambein;Führt den Daumen ab und unterstützt Oppositions- sowie Beugebewegungen;CMC-Flexion · Abduktion · Opposition;N. medianus;C6, C7;Medianusparese – Daumenballenatrophie;nein;Daumenballen (Thenar);2;1;ja;M. abductor pollicis brevis;abductor-pollicis-brevis
M. abductor pollicis longus;;Obere Extremität;Hand & Finger;Art. manus · Daumensattelgelenk;Hand;Facies posterior von Ulna und Radius und Membrana interossea;Basis der radialen Seite des Os metacarpale I;"Abduktion und Extension des Daumens im Sattelgelenk; unterstützt die Radialabduktion";Radialabduktion · CMC-Extension · CMC-Abduktion;N. radialis;C6, C7, C8;Tendovaginitis de Quervain;nein;;2;1;ja;M. abductor pollicis longus;abductor-pollicis-longus
M. adductor pollicis;;Obere Extremität;Hand & Finger;Daumensattelgelenk · MCP;Hand;"Caput obliquum: Os trapezoideum, Os capitatum, Basis Os metacarpale II, Ligg. metacarpalia palmaria; Caput transversum: Palmare Seite des Os metacarpale III";Basis der Grundphalanx des Daumens, ulnares Sesambein;"Adduktion des Daumens; unterstützt Reposition und Flexion im Sattelgelenk";CMC-Flexion · Adduktion · Reposition;N. ulnaris;C8, Th1;Froment-Zeichen bei Ulnarisparese;nein;Daumenballen (Thenar);2;2;ja;M. adductor pollicis;adductor-pollicis
M. extensor carpi radialis brevis;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Lig. anulare radii;Basis Os metacarpale III;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;1;ja;M. extensor carpi radialis brevis;extensor-carpi-radialis-brevis
M. extensor carpi radialis longus;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Margo lateralis humeri;Basis Os metacarpale II;Dorsalextension und Radialabduktion im Handgelenk;Dorsalextension · Radialabduktion;N. radialis;C6, C7;Epicondylitis lateralis (Tennisellenbogen);nein;;2;2;ja;M. extensor carpi radialis longus;extensor-carpi-radialis-longus
M. extensor carpi ulnaris;;Obere Extremität;Hand & Finger;Art. cubiti · Art. manus;Ellenbogen · Hand;Epicondylus lateralis humeri, Lig. collaterale radiale, Margo posterior ulnae;Basis Os metacarpale V;Dorsalextension und Ulnarabduktion im Handgelenk;Ulnarabduktion;N. radialis;C6, C7, C8;Epicondylitis lateralis;nein;;1;1;ja;M. extensor carpi ulnaris;extensor-carpi-ulnaris
M. extensor digiti minimi;;Obere Extremität;Hand & Finger;Art. manus · MCP · PIP · DIP;Hand;Epicondylus lateralis humeri;Dorsalaponeurose des kleinen Fingers;"Streckt den kleinen Finger; unterstützt die Dorsalextension im Handgelenk";Dorsalextension · Extension des V. Fingers;N. radialis;C6, C7, C8;Eigenständige Extension des Kleinfingers;nein;;2;1;ja;M. extensor digiti minimi;extensor-digiti-minimi
