Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. abductor digiti minimi;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;Tuber calcanei (Proc. lateralis) und Lig. plantare longum;Zeh V, Tuberositas ossis metatarsalis V und proximale Phalanx (laterale Seite);"Abduziert und beugt die Kleinzehe im MTP-Gelenk; stabilisiert den lateralen Fußrand";Zeh V: Flexion und Abduktion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);;Bursitis am Tuber calcanei lateral und der sog. Tailor's bunion (Prominenz des fünften Mittelfußköpfchens) gehen häufig mit Reizung des Abductor digiti minimi einher;nein;;1;1;ja;M. abductor digiti minimi;abductor-digiti-minimi-lower-fuss-zeh-v-flexion-und-abduktion-des-mtp-gelenks
M. abductor hallucis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Proc. medialis des Tuber calcanei, Retinaculum flexorum und Aponeurosis plantaris;Basis der proximalen Phalanx des I. Zehs und mediales Sesambein;"Abduziert die Großzehe vom zweiten Strahl weg; beugt sie im MTP-Gelenk; unterstützt das mediale Längsgewölbe";Zeh I: Flexion und Abduktion (vom II. Strahl weg) des MTP-Gelenks;N. tibialis (N. plantaris medialis);;"Beim Hallux valgus ist die Abduktorkraft stark geschwächt; bei Plantarfasziitis ist der Ursprung am Kalkaneus mitbetroffen";nein;;1;1;ja;M. abductor hallucis;abductor-hallucis
M. adductor hallucis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;"Caput obliquum: Os metatarsale II–V (Basis); Os cuboideum, Os cuneiforme III und Lig. plantare longum; Caput transversum: Kapsel der Art. MTP II–V und Lig. metatarseum transversum profundum";Basis der proximalen Phalanx des I. Zehs und laterales Sesambein;"Adduziert die Großzehe zum zweiten Strahl; beugt das MTP-Gelenk; verspannt das Quergewölbe (Caput transversum)";Zeh I: Flexion und Adduktion (zum II. Strahl hin) des MTP-Gelenks;N. tibialis (N. plantaris lateralis);;"Beim Hallux valgus gilt überaktive Adduktorenaktivität als mitverursachend für die mediale Deviation des ersten Strahls; enges Schuhwerk begünstigt dies";nein;;3;1;ja;M. adductor hallucis;adductor-hallucis
M. extensor digitorum brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP und IP Zehen II–IV;Sprunggelenk & Fuß;Kalkaneus (dorsolateral) und Retinaculum extensorum inferius;Zeh II–IV, Dorsalaponeurosen;"Streckt die Zehen II–IV in MTP- und IP-Gelenken; unterstützt den langen Zehenstrecker bei der Fußhebung";Zeh II–IV: Extension und Lateralabduktion der MTP- und IP-Gelenke;N. peroneus profundus;;Eine deutliche Schwellung am Fußrücken kann fälschlicherweise für ein Ganglion gehalten werden, wenn der Muskelbauch des EDB besonders ausgeprägt ist;nein;;2;0;ja;M. extensor digitorum brevis;extensor-digitorum-brevis
M. extensor digitorum longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zehen II–V;Sprunggelenk & Fuß;Condylus lateralis tibiae, Facies medialis fibulae und Membrana interossea;"Dorsalaponeurose der Zehen II–V; Os metatarsale V (dorsal)";"Dorsalextendiert den Fuß und proniert; streckt die Zehen II–V in den MTP- und IP-Gelenken; unterstützt das Anheben der Zehenspitzen beim Gehen";"Fuß: Dorsalextension · Pronation; Zehen II–V: Extension der MTP- und IP-Gelenke";N. peroneus profundus;;"Bei N.-peroneus-profundus-Parese fällt die Zehenstreckung gemeinsam mit der Fußhebung aus; vorderes Kompartmentsyndrom betrifft diesen Muskel ebenfalls";nein;;1;1;ja;M. extensor digitorum longus;extensor-digitorum-longus
M. extensor hallucis brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh I;Sprunggelenk & Fuß;Dorsalfläche des Kalkaneus (zusammen mit M. extensor digitorum brevis);Zeh I, proximale Phalanx;Streckt die Großzehe im Grundgelenk und unterstützt die lange Strecksehne;Zeh I: Extension des MTP-Gelenks;N. peroneus profundus;;"Teil der EDB-Gruppe; kann bei pathologischer Fußrückenschwellung klinisch prominent werden; sein Muskelbauch ist manchmal vergrößert und mit einem Tumor verwechselt worden";nein;;2;1;ja;M. extensor hallucis brevis;extensor-hallucis-brevis
M. extensor hallucis longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · MTP und IP Zeh I;Sprunggelenk & Fuß;Facies medialis fibulae (Mitte) und Membrana interossea;Zeh I, dorsale distale Phalanx (Basis);"Dorsalextendiert den Fuß; streckt die Großzehe in MTP- und IP-Gelenk; hebt das mediale Gewölbe bei der Fußhebung";"Fuß: Dorsalextension; Zeh I: Extension des MTP- und IP-Gelenks";N. peroneus profundus;;"Hallux-extensus-Deformität (Hyperextension Zehe I) kann nach N.-peroneus-profundus-Parese entstehen; Kompartmentsyndrom vordere Loge betrifft auch EHL";nein;;2;1;ja;M. extensor hallucis longus;extensor-hallucis-longus
M. fibularis brevis (M. peroneus brevis);;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Facies lateralis fibulae (distal);Os metatarsale V (Tuberositas);"Plantarflektiert und proniert den Fuß; wichtig für die seitliche Fußstabilisierung";Fuß: Plantarflexion · Pronation;N. peroneus superficialis;;"Avulsionsfraktur an der Tuberositas ossis metatarsalis V entsteht typischerweise bei Supinationstrauma durch Zug der Peroneus-brevis-Sehne; Peronealsehnenruptur ebenfalls möglich";nein;;1;2;ja;M. fibularis brevis (M. peroneus brevis);fibularis-brevis-m-peroneus-brevis
M. fibularis longus (M. peroneus longus);;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Condylus lateralis tibiae, Caput fibulae und Facies lateralis fibulae (proximal);Os cuneiforme I und Os metatarsale I (Tuberositas, plantar);"Plantarflektiert und proniert den Fuß; verspannt das Quergewölbe durch seinen diagonalen Verlauf auf der Fußsohle";Fuß: Plantarflexion · Pronation;N. peroneus superficialis;;"Peronealsehnenruptur und -luxation entstehen oft durch Supinationstrauma; am lateralen Fuß kann die Sehne hinter dem Außenknöchel aus ihrem Kanal springen (Luxation)";nein;;1;2;ja;M. fibularis longus (M. peroneus longus);fibularis-longus-m-peroneus-longus
M. flexor digiti minimi brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP Zeh V;Sprunggelenk & Fuß;Os metatarsale V (Basis) und Lig. plantare longum;Zeh V, Basis der proximalen Phalanx (plantar);"Beugt die Kleinzehe im MTP-Gelenk V; unterstützt die Stabilisierung des lateralen Fußrandes";Zeh V: Flexion des MTP-Gelenks;N. tibialis (N. plantaris lateralis);;"Bei Kleinzehenschmerzen und Spreizfuß kann dieser Muskel durch Druck des Schuhwerks gereizt sein; selten isoliert klinisch beurteilbar";nein;;2;1;ja;M. flexor digiti minimi brevis;flexor-digiti-minimi-brevis-lower-fuss-zeh-v-flexion-des-mtp-gelenks
M. flexor digitorum brevis;;Untere Extremität;Fuß & Sprunggelenk;MTP und proximale IP Zehen II–V;Sprunggelenk & Fuß;Kalkaneus (Proc. medialis am Tuber) und Aponeurosis plantaris;Zehen II–V, plantare mittlere Phalangen;"Beugt die Zehen II–V in MTP- und proximalen IP-Gelenken; unterstützt das Greifen und Abrollen des Fußes beim Gehen";Zeh II–V: Flexion der MTP- und proximalen IP-Gelenke;N. tibialis (N. plantaris medialis);;"Bei Plantarfasziitis ist der Ansatz am Kalkaneus (Proc. medialis) entzündet; Hammerzehen entstehen u.a. durch Imbalalanc zwischen FDB und den langen Zehenmuskeln";nein;;1;1;ja;M. flexor digitorum brevis;flexor-digitorum-brevis
M. flexor digitorum longus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris · MTP und IP Zehen II–V;Sprunggelenk & Fuß;Facies posterior tibiae (Mitte);Zehen II–V, distale Phalanx (Basis);"Plantarflektiert den Fuß und supiniert; beugt die Zehen II–V in MTP-, PIP- und DIP-Gelenken; beim Gehen unterstützt er das Abstoßen und das Greifen der Zehenspitzen";"Fuß: Plantarflexion · Supination; Zehen II–V: Flexion der MTP- und IP-Gelenke";N. tibialis;;"Tarsaltunnelsyndrom kann Druck auf die FDL-Sehne ausüben; chronische Überlastung führt zu Krallenzehen durch Dauerkontraktur der tiefen Zehenbeuger";nein;;2;2;ja;M. flexor digitorum longus;flexor-digitorum-longus
