Muskel;Region;Subregion;Feld;Urteil;Bei mir;Wikipedia;Delta;Artikel
M. abductor digiti minimi;Obere Extremität;Hand & Finger;Ursprung;abweichend;Os pisiforme;Os pisiforme und Sehne des Musculus flexor carpi ulnaris;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Hand)
M. abductor digiti minimi;Obere Extremität;Hand & Finger;Ansatz;teils gleich;Basis der Grundphalanx des V. Fingers, ulnares Sesambein;medial an der Basis des kleinen Fingers;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Hand)
M. abductor digiti minimi;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Abduktion des kleinen Fingers; unterstützt die MCP-Extension";Abspreizen des kleinen Fingers;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Hand)
M. abductor digiti minimi;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. ulnaris;Nervus ulnaris (Plexus brachialis);;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Hand)
M. abductor digiti minimi;Obere Extremität;Hand & Finger;Segmente;gleich;C8, Th1;C8, Th1;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Hand)
M. abductor digiti minimi;Untere Extremität;Fuß & Sprunggelenk;Ursprung;teils gleich;Tuber calcanei (Proc. lateralis) und Lig. plantare longum;Processus lateralis tuberis calcanei, Plantaraponeurose;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Fu%C3%9F)
M. abductor digiti minimi;Untere Extremität;Fuß & Sprunggelenk;Ansatz;abweichend;Zeh V, Tuberositas ossis metatarsalis V und proximale Phalanx (laterale Seite);v. a. Basis Grundglied Kleinzehe;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Fu%C3%9F)
M. abductor digiti minimi;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Abduziert und beugt die Kleinzehe im MTP-Gelenk; stabilisiert den lateralen Fußrand";Abduktion und Flexion der Kleinzehe;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Fu%C3%9F)
M. abductor digiti minimi;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. tibialis (N. plantaris lateralis);Nervus plantaris lateralis;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Fu%C3%9F)
M. abductor digiti minimi;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;S1-S2;;https://de.wikipedia.org/wiki/Musculus_abductor_digiti_minimi_(Fu%C3%9F)
M. abductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Ursprung;abweichend;Proc. medialis des Tuber calcanei, Retinaculum flexorum und Aponeurosis plantaris;Tuberculum mediale des Fersenbeins;;https://de.wikipedia.org/wiki/Musculus_abductor_hallucis
M. abductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Ansatz;teils gleich;Basis der proximalen Phalanx des I. Zehs und mediales Sesambein;Basis der proximalen Phalanx der großen Zehe;;https://de.wikipedia.org/wiki/Musculus_abductor_hallucis
M. abductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Funktion;Freitext — nur lesen;"Abduziert die Großzehe vom zweiten Strahl weg; beugt sie im MTP-Gelenk; unterstützt das mediale Längsgewölbe";Beugen und Abspreizen des großen Zehs, versteift Längsgewölbe;;https://de.wikipedia.org/wiki/Musculus_abductor_hallucis
M. abductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Innervation;gleich (andere Worte);N. tibialis (N. plantaris medialis);Nervus plantaris medialis;;https://de.wikipedia.org/wiki/Musculus_abductor_hallucis
M. abductor hallucis;Untere Extremität;Fuß & Sprunggelenk;Segmente;nur Wikipedia;;S1-S2;;https://de.wikipedia.org/wiki/Musculus_abductor_hallucis
M. abductor pollicis brevis;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Tuberculum ossis scaphoidei und Retinaculum flexorum;Retinaculum flexorum, Os scaphoideum und Os trapezium;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_brevis
M. abductor pollicis brevis;Obere Extremität;Hand & Finger;Ansatz;abweichend;Basis der Grundphalanx des Daumens, radiales Sesambein;Außenseite des Grundglieds des Daumens;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_brevis
M. abductor pollicis brevis;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;Führt den Daumen ab und unterstützt Oppositions- sowie Beugebewegungen;Abspreizen des Daumens;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_brevis
M. abductor pollicis brevis;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. medianus;Nervus medianus des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_brevis
M. abductor pollicis brevis;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7;C7-Th1;nur bei mir: C6 | nur Wikipedia: C8, Th1;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_brevis
M. abductor pollicis longus;Obere Extremität;Hand & Finger;Ursprung;teils gleich;Facies posterior von Ulna und Radius und Membrana interossea;Hinterfläche von Radius und Ulna, Membrana interossea;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_longus
M. abductor pollicis longus;Obere Extremität;Hand & Finger;Ansatz;abweichend;Basis der radialen Seite des Os metacarpale I;Os metacarpale I, variabel am Os trapezoideum;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_longus
M. abductor pollicis longus;Obere Extremität;Hand & Finger;Funktion;Freitext — nur lesen;"Abduktion und Extension des Daumens im Sattelgelenk; unterstützt die Radialabduktion";Abspreizung des Daumens;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_longus
M. abductor pollicis longus;Obere Extremität;Hand & Finger;Innervation;teils gleich;N. radialis;Nervus radialis des Plexus brachialis;;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_longus
M. abductor pollicis longus;Obere Extremität;Hand & Finger;Segmente;abweichend;C6, C7, C8;C7, C8;nur bei mir: C6;https://de.wikipedia.org/wiki/Musculus_abductor_pollicis_longus
M. adductor brevis;Untere Extremität;Hüfte;Ursprung;gleich (andere Worte);Os pubis, Ramus inferior;Schambein (Ramus inferior ossis pubis);;https://de.wikipedia.org/wiki/Musculus_adductor_brevis
